,zipcode,bedrooms,price,weekly_price,monthly_price,cleaning_fee,number_of_reviews,review_scores_rating
54,11221,2.0,115.0,850.0,3220.0,85.0,11,94.0
59,11206,2.0,224.0,1344.0,6272.0,128.0,75,94.0
68,11221,2.0,185.0,1110.0,3200.0,120.0,9,88.0
72,10001,2.0,375.0,2750.0,7500.0,100.0,5,100.0
80,11215,2.0,225.0,1350.0,6300.0,630.0,4,100.0
99,11211,2.0,145.0,860.0,3000.0,79.0,59,89.0
100,10031,2.0,110.0,900.0,2800.0,100.0,52,94.0
101,10002,2.0,285.0,1710.0,4875.0,100.0,67,87.0
115,11217,2.0,250.0,1400.0,4000.0,250.0,18,99.0
124,11231,2.0,175.0,1050.0,4900.0,65.0,224,93.0
125,11205,2.0,125.0,725.0,2250.0,0.0,55,86.0
127,10031,2.0,240.0,1440.0,6720.0,0.0,214,95.0
131,11233,2.0,125.0,975.0,3500.0,85.0,160,93.0
142,10023,2.0,235.0,2000.0,6000.0,120.0,26,91.0
163,11233,2.0,125.0,750.0,2500.0,0.0,205,92.0
168,11201,2.0,140.0,840.0,3920.0,60.0,4,90.0
173,10009,2.0,195.0,1550.0,4000.0,100.0,28,87.0
179,11238,2.0,115.0,770.0,2500.0,150.0,4,70.0
183,10009,2.0,162.0,972.0,4536.0,100.0,61,90.0
191,10025,2.0,193.0,1158.0,5404.0,100.0,180,91.0
195,11215,2.0,250.0,1500.0,7000.0,165.0,73,94.0
199,11231,2.0,165.0,990.0,4620.0,65.0,144,92.0
203,11249,2.0,150.0,900.0,4200.0,420.0,193,95.0
207,10027,2.0,165.0,1200.0,3500.0,80.0,72,90.0
210,10039,2.0,100.0,600.0,2800.0,75.0,18,96.0
212,10014,2.0,395.0,2370.0,8750.0,100.0,266,94.0
235,11385,2.0,140.0,840.0,3920.0,100.0,6,80.0
237,11249,2.0,249.0,1600.0,4800.0,480.0,331,94.0
260,11215,2.0,135.0,810.0,3780.0,378.0,17,96.0
265,10002,2.0,250.0,1500.0,7000.0,700.0,14,89.0
269,10009,2.0,200.0,1250.0,3700.0,80.0,34,97.0
275,11215,2.0,160.0,960.0,2900.0,100.0,11,96.0
276,10027,2.0,140.0,850.0,2750.0,80.0,123,89.0
277,10013,2.0,135.0,810.0,3780.0,75.0,21,92.0
278,10011,2.0,500.0,3000.0,5500.0,100.0,35,92.0
291,11222,2.0,285.0,1710.0,7980.0,125.0,121,96.0
292,11216,2.0,60.0,325.0,1100.0,85.0,33,93.0
300,11216,2.0,135.0,810.0,3780.0,0.0,237,92.0
301,10009,2.0,390.0,2600.0,9000.0,900.0,139,87.0
312,11216,2.0,75.0,450.0,2100.0,210.0,64,98.0
314,10009,2.0,129.0,774.0,3612.0,85.0,5,100.0
319,11231,2.0,190.0,1200.0,5320.0,70.0,40,97.0
324,10027,2.0,135.0,810.0,3780.0,60.0,173,86.0
